Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
GRCh38_ENSG00000269028,GRCh38_MTRNR2L12,Gene Expression,0.5232902506043785,0.0,0.0,15253,3.57714402824222,4158
GRCh38_ENSG00000211896,GRCh38_IGHG1,Gene Expression,0.41486106454573096,0.0,0.0,52207,1.2446996369070127,2794
GRCh38_ENSG00000143556,GRCh38_S100A7,Gene Expression,0.4065767002885444,0.0,0.0,88846,5.15987030445202,4441
GRCh38_ENSG00000196754,GRCh38_S100A2,Gene Expression,0.34060559785989764,0.0,0.0,111594,3.7553631918257055,3920
GRCh38_ENSG00000211677,GRCh38_IGLC2,Gene Expression,0.33867620607857596,0.0,0.0,54798,1.8148755684058138,3301
GRCh38_ENSG00000198888,GRCh38_MT-ND1,Gene Expression,0.3354860409595168,0.0,0.0,57465,5.104141064083034,4554
GRCh38_ENSG00000211897,GRCh38_IGHG3,Gene Expression,0.33465115719410765,0.0,0.0,94441,3.003795900552473,3653
GRCh38_ENSG00000111640,GRCh38_GAPDH,Gene Expression,0.3297738186338918,0.0,0.0,100005,3.025984354809908,3713
GRCh38_ENSG00000099953,GRCh38_MMP11,Gene Expression,0.31954792002520555,0.0,0.0,10505,0.27180681768863973,1888
GRCh38_ENSG00000211592,GRCh38_IGKC,Gene Expression,0.3163990440115758,0.0,0.0,260805,9.582444689562006,4662
GRCh38_ENSG00000203785,GRCh38_SPRR2E,Gene Expression,0.31347258069514994,0.0,0.0,54883,4.263385049172589,4480
GRCh38_ENSG00000186395,GRCh38_KRT10,Gene Expression,0.31036706764984257,0.0,0.0,35637,2.0957474298630463,3695
GRCh38_ENSG00000211679,GRCh38_IGLC3,Gene Expression,0.30985350405946926,0.0,0.0,11471,0.27926297349605106,1850
GRCh38_ENSG00000163220,GRCh38_S100A9,Gene Expression,0.298139594153558,0.0,0.0,297615,14.706101866679205,4892
GRCh38_ENSG00000251562,GRCh38_MALAT1,Gene Expression,0.2894684647293686,0.0,0.0,56027,4.846830673226492,4554
GRCh38_ENSG00000253755,GRCh38_IGHGP,Gene Expression,0.2871574698203801,0.0,0.0,16547,0.45449805372160745,2266
GRCh38_ENSG00000117394,GRCh38_SLC2A1,Gene Expression,0.28658107511282355,0.0,0.0,16332,0.5068711814827133,2426
GRCh38_ENSG00000198886,GRCh38_MT-ND4,Gene Expression,0.27433263093498866,0.0,0.0,61596,4.849728462759611,4539
GRCh38_ENSG00000186081,GRCh38_KRT5,Gene Expression,0.27055007864615477,0.0,0.0,147610,5.168049723266129,4270
GRCh38_ENSG00000143546,GRCh38_S100A8,Gene Expression,0.26851791010215853,0.0,0.0,363158,15.61124265179929,4898
GRCh38_ENSG00000204525,GRCh38_HLA-C,Gene Expression,0.26837652947152607,0.0,0.0,70787,2.017813686752189,3420
GRCh38_ENSG00000104419,GRCh38_NDRG1,Gene Expression,0.2661980002701514,0.0,0.0,16050,0.4963898153086453,2449
GRCh38_ENSG00000019582,GRCh38_CD74,Gene Expression,0.26427900733178616,0.0,0.0,57432,1.757560320034621,3352
GRCh38_ENSG00000241794,GRCh38_SPRR2A,Gene Expression,0.2630158581604933,0.0,0.0,72292,4.798473160588245,4543
GRCh38_ENSG00000211892,GRCh38_IGHG4,Gene Expression,0.2622660801767399,0.0,0.0,63518,2.2519646827993105,3556
GRCh38_ENSG00000198899,GRCh38_MT-ATP6,Gene Expression,0.25645110822095823,0.0,0.0,49298,4.195542779507701,4459
GRCh38_ENSG00000198804,GRCh38_MT-CO1,Gene Expression,0.25595728886079605,0.0,0.0,94371,5.909234697855477,4571
GRCh38_ENSG00000130203,GRCh38_APOE,Gene Expression,0.2457968046700794,0.0,0.0,16508,0.4761581686459785,2361
